Character,Line,Episode
Lumpy Space Princess,  [floating] Whoopiiieee...,Trouble in Lumpy Space
Princess Bubblegum,"  Cheers, Lumpy Space Princess.",Trouble in Lumpy Space
Action, [Everyone cheers.],Trouble in Lumpy Space
Jake,  Bouncing!,Trouble in Lumpy Space
Finn,"  Princess, this tea party sucks in a big way! But thanks for the invite!",Trouble in Lumpy Space
Princess Bubblegum,"  Oh, don't worry, Finn. The Mallow Tea Ceremony takes years to master.",Trouble in Lumpy Space
Finn,"  Princess! I think I just now mastered it! [Tea splashes in his face.] One more bounce. [Bounces down] Alright! [Hits the ground] Unh! Tea partying's hard, huh, Jake?",Trouble in Lumpy Space
Jake,  [Hits the ground] Oof! Yes!,Trouble in Lumpy Space
Lumpy Space Princess,  What?! No way! It's super easy!,Trouble in Lumpy Space
Finn,"  Lumpy Space Princess, you big faker! You're floating, not bouncing!",Trouble in Lumpy Space
Lumpy Space Princess,"  Fine. I'll prove it. [She stops floating] Huh? Ah! Oh, no! [Bounces down] Oh, snap! [She lands with her teeth on Jake's leg.]",Trouble in Lumpy Space
Jake,  AAAAAGH!,Trouble in Lumpy Space
Lumpy Space Princess,  [Muffled] Oh. Sorry I bit your leg.,Trouble in Lumpy Space
Jake,  You're still biting me!!,Trouble in Lumpy Space
Lumpy Space Princess,"  Oh, my gosh. Oh, right. Sorry.",Trouble in Lumpy Space
Finn,  Dude! Your leg!,Trouble in Lumpy Space
Jake,"  This is... new. It's nothin' ominous, though. Just a bump.",Trouble in Lumpy Space
Lumpy Space Princess,"  Nah, that's no bump. It's the early stage of the lumps.",Trouble in Lumpy Space
Finn,  Is it serious?,Trouble in Lumpy Space
Lumpy Space Princess,"  It just means he's changing into a Lumpy Space guy, on account of my bite. It's just like, um, y'know... werewolf rules? [Imitating a werewolf] Ar, rawr rawr rawr rawr rawr rawr!",Trouble in Lumpy Space
Finn,"  Oh, no!",Trouble in Lumpy Space
Jake,"  What? You think I'm gonna turn all lumpy like her? Get outta here. [Arm suddenly lumps up] Wha? Finn, I think I'm freakin' out!",Trouble in Lumpy Space
Finn,"  Calm down, bud! I'll... I'll sock the lumpiness outta ya!",Trouble in Lumpy Space
Action, [Teacup falls on the ground and shatters.],Trouble in Lumpy Space
Princess Bubblegum,"  Hey, now! [Bouncing down] Royal intervention! Surely there must be an antidote to the lumps.",Trouble in Lumpy Space
Lumpy Space Princess,"  Yeah. There's an antidote, but you have to go all the way to Lumpy Space to get it. And Jake has to use it by sunset.",Trouble in Lumpy Space
Princess Bubblegum,  What happens if he doesn't take the antidote by sunset?,Trouble in Lumpy Space
Lumpy Space Princess,"  He'll be lumpy, like, forever.",Trouble in Lumpy Space
Finn,"  LSP, please! Can you tell us how to reach Lumpy Space?",Trouble in Lumpy Space
Lumpy Space Princess,"  Yeah, I mean, there's a portal nearby. I can show you whenever.",Trouble in Lumpy Space
Finn and Jake,  [Exiting with Lumpy Space Princess] Take us now! Take us now!,Trouble in Lumpy Space
Princess Bubblegum,  [Intestines grumble] I should not have drunk that much tea! [Runs off],Trouble in Lumpy Space
Lumpy Space Princess,  Don't go telling everyone about this portal or whatever. It's kind of a secret.,Trouble in Lumpy Space
Action, [Finn and Jake look around.],Trouble in Lumpy Space
Finn,  Where is it?,Trouble in Lumpy Space
Lumpy Space Princess,  Portal's that Frog and mushroom.,Trouble in Lumpy Space
Action, [Frog jumps on mushroom with a ribbit.],Trouble in Lumpy Space
Frog,"  Password, please.",Trouble in Lumpy Space
Lumpy Space Princess,  [yells] Whatevers2009!!,Trouble in Lumpy Space
Frog,"  Good day, Princess. Is your father okay with you entering Lumpy Space with two... [puffs out his chest] non-Lumpers?",Trouble in Lumpy Space
Finn,"  [Whispering to Lumpy Space Princess] Just say yes! Yes, yes, yes!",Trouble in Lumpy Space
Lumpy Space Princess,"  Yeah, whatever, fine.",Trouble in Lumpy Space
Action," [The frog extends its tongue to the three and sucks them into his mouth, transporting them to Lumpy Space.]",Trouble in Lumpy Space
Action, [Scene changes to Lumpy Space. Finn is thrown toward a lumpy cloud where LSP and Jake are waiting for him.],Trouble in Lumpy Space
Finn,"  AAAAH!! Whoa... Lumpy Space. So, where's the antidote?",Trouble in Lumpy Space
Lumpy Space Princess,"  Hold it. First, you should check out my house. It's, like, kind of lame, but way less lame than, like, your house.",Trouble in Lumpy Space
Jake,"  Uh, could you skip to the part where you tell us where the antidote is?",Trouble in Lumpy Space
Lumpy Space Princess,  It's up there at Makeout Point.,Trouble in Lumpy Space
Finn,"  That's so close! We can run there in no... [Camera pans up, revealing that Makeout Point is across an abyss.] ...time. Aww, what?!! It's, like, a million-mile fall into space!",Trouble in Lumpy Space
Lumpy Space Princess,"  Yeah. You have to travel by car in my world, or else you'll fall into the Lumpy Abyss.",Trouble in Lumpy Space
Lumpy Space King,  Daughter!! Have you brought smooth people into our domain?!,Trouble in Lumpy Space
Lumpy Space Princess,"  I had to, Dad... I'm trying to help them, so don't lumping yell at me!",Trouble in Lumpy Space
Lumpy Space Queen,  WHAT DID YOU SAY?! What did you just say?!?,Trouble in Lumpy Space
Lumpy Space Princess,"  I SAID, ""LUMP OFF,"" MOM!!! [yells gibberish angrily, then pants heavily]",Trouble in Lumpy Space
Finn,  Uh...,Trouble in Lumpy Space
Lumpy Space Princess,  [To Finn] WHAT?!?!,Trouble in Lumpy Space
Finn,  Vroom vroom??,Trouble in Lumpy Space
Lumpy Space Princess,"  Oh, yeah. [To parents] I need to borrow the car.",Trouble in Lumpy Space
Lumpy Space King,"  You have made your mother cry for the last time, daughter! You are hereby banned from using the royal car!! [walks inside house and slams the door]",Trouble in Lumpy Space
Lumpy Space Princess,"  Shucks! I lumping hate them! I'm really, really sorry, Finn. But I can't help you because my parents are horrible idiots.",Trouble in Lumpy Space
Finn,  Don't you know anyone else with a car?,Trouble in Lumpy Space
Lumpy Space Princess,  My friend Melissa has a car. But she's dating my ex-boyfriend Brad.,Trouble in Lumpy Space
Finn,  [frustrated] Call her NOW.,Trouble in Lumpy Space
Lumpy Space Princess,  Hmm. [pulls out cellphone] [LSP says to her phone] Call BFF 66.,Trouble in Lumpy Space
Action," [Elsewhere, Melissa's phone rings.]",Trouble in Lumpy Space
Melissa,  [answering] Hello?,Trouble in Lumpy Space
Lumpy Space Princess,"  Hey, Melissa. What's up?",Trouble in Lumpy Space
Finn,  What's she saying?,Trouble in Lumpy Space
Lumpy Space Princess,"  [whispering to Finn] I'm asking her, jeez! Melissa, just listen!",Trouble in Lumpy Space
Melissa,  Have you forgotten what day it is?,Trouble in Lumpy Space
Lumpy Space Princess,  Melissa. I'm trying to help out some friends.,Trouble in Lumpy Space
Melissa,  Tonight is the weekly Promcoming Dance!,Trouble in Lumpy Space
Lumpy Space Princess,"  Oh, Glob. I forgot.",Trouble in Lumpy Space
Finn,  What'd she say?,Trouble in Lumpy Space
Lumpy Space Princess,"  Tonight is the weekly Promcoming Dance! [To Melissa, in excitement] It's gonna be so flipping awesome!",Trouble in Lumpy Space
Finn,"  [exasperated] LSP, we don't have time for this. Ask for the ride, LSP.",Trouble in Lumpy Space
Lumpy Space Princess,"  Oh, oh, oh, oh, oh, oh, oh, oh—[Finn takes the cellphone] [LSP continues to say oh a couple of times until she realizes her phone is missing] Wha?!",Trouble in Lumpy Space
Finn,"  [To Melissa, imitating Lumpy Space Princess] Melissa, [Lumpy Space Princess tries to retrieve her phone while Finn continues.] you should totally drive us to Makeout Point to make out with hot boys!",Trouble in Lumpy Space
Melissa,"  LSP, you're so baaaaad... be there in a sec!",Trouble in Lumpy Space
Finn,  Biyah. [hangs up],Trouble in Lumpy Space
Lumpy Space Princess,  Hmm. [takes phone back],Trouble in Lumpy Space
Finn,  [Normal voice] Sorry. But Jake's lumpiness is worsening!,Trouble in Lumpy Space
Jake,"  Actually, I think I'm beating it back with sheer willpower! [Part of his head bulges up.] [flatly] Oh, my. [Forces lump back into body]",Trouble in Lumpy Space
Lumpy Space Princess,"  Yeah, whatever. Just don't mess with my phone again.",Trouble in Lumpy Space
Action, [Melissa arrives on her car.],Trouble in Lumpy Space
Melissa,  Hi!,Trouble in Lumpy Space
Action," [Melissa drives into Finn, knocking him over.]",Trouble in Lumpy Space
Finn,"  Ugh... OKAY! Let's go, let's go, let's go!!",Trouble in Lumpy Space
Action," [They ride off, and Melissa's ""SXY-LMP"" liscense plate is revealed. Electronic music plays.]",Trouble in Lumpy Space
Jake,"  Aw, Finn, this music ducks, right? [suddenly in a lumpy accent] Ah. I love this song. We should totally TP Shandala's house! [in normal voice] Gracious! That was terrible! Finn, if you can't save me from the lumps... if I do turn... if I become lumpy like them, I want you to—",Trouble in Lumpy Space
Finn,"  [while embracing Jake] It's not gonna come to that. But if it does, I'll bury you beneath the nicest, most shadiest tree!",Trouble in Lumpy Space
Jake,"  Whoa, whoa, whoa, whoa! I'm saying that if I go totally lumpy, then I want you to get used to lumpy Jake. What did you think I was sayin'?",Trouble in Lumpy Space
Finn,"  Oh, um... [awkwardly] Heh heh. [angrily towards Melissa] CAN'T THIS CAR GO ANY FASTER?!",Trouble in Lumpy Space
Melissa,"  We're already here! Hi, Finn.",Trouble in Lumpy Space
Lumpy Space Princess,"  We've been here for, like, five minutes.",Trouble in Lumpy Space
Finn,  Finally! Huh? This doesn't look like Makeout Point.,Trouble in Lumpy Space
Melissa,  This is Brad's house. You wanted a ride to Makeout Point? You think I want to make out with you?!,Trouble in Lumpy Space
Finn,  Uh...,Trouble in Lumpy Space
Melissa,"  [blushing] Well, maybe I do, but... wait. [angrily] I HAVE A BOYFRIEND, FINN!! [throws Finn down]",Trouble in Lumpy Space
Finn,"  LSP, we gotta hurry! Jake's running out of time!",Trouble in Lumpy Space
Lumpy Space Princess,"  Hey. This is hard for me, too. I mean, I used to eat chili cheese fries with Brad... so there's gonna be a lot of romantic tension on this ride!",Trouble in Lumpy Space
Brad,  Hey.,Trouble in Lumpy Space
Melissa,"  Oh, Braaaaad... [giggles]",Trouble in Lumpy Space
Brad,"  You miss me yet, LSP?",Trouble in Lumpy Space
Lumpy Space Princess,"  [sullenly] Scooch over, Finn. I'm gonna sit in the back.",Trouble in Lumpy Space
Action, [Scene changes to when they arrive at Makeout Point],Trouble in Lumpy Space
Lumpy Space Princess,  This is it.,Trouble in Lumpy Space
Action, [Melissa parks the car.],Trouble in Lumpy Space
Finn,  Let's go!,Trouble in Lumpy Space
Lumpy Space Princess,"  Wait. Watch yourself, Finn. The guys who use the antidote up here are notorious for being... [whispering] smooth posers.",Trouble in Lumpy Space
Finn,  What does that mean?,Trouble in Lumpy Space
Lumpy Space Princess,  It just means what it means. Hurry. Get the antidote so we can get outta here.,Trouble in Lumpy Space
Finn,"  Thanks, LSP.",Trouble in Lumpy Space
